<omega>	pairs	n_of_seqs	file
0	15	6	my_64316_TR35761-c0_g2_i1_aln.fna
0	36	9	my_35470_TR12545-c0_g1_i1_aln.fna
0	6	4	my_257506_TR11068-c0_g1_i1_aln.fna
0	120	16	my_19873_TR15457-c0_g1_i1_aln.fna
0	15	6	my_298002_TR18058-c0_g1_i1_aln.fna
0	10	5	my_137537_TR22440-c0_g1_i1_aln.fna
0	28	8	my_35379_TR34600-c0_g1_i1_aln.fna
0	45	10	my_103855_TR33595-c0_g1_i1_aln.fna
0	28	8	my_104697_TR20532-c0_g1_i1_aln.fna
0.26	10	5	my_19312_TR18847-c0_g1_i5_aln.fna
0.52	6	4	my_34488_TR31857-c0_g1_i1_aln.fna
0.01	66	12	my_21626_TR33095-c0_g1_i1_aln.fna
0	10	5	my_97759_TR1018-c0_g1_i1_aln.fna
0.15	10	5	my_71040_TR31235-c0_g1_i1_aln.fna
0.72	28	8	my_30195_TR21624-c0_g1_i1_aln.fna
0	6	4	my_105904_TR29116-c0_g1_i1_aln.fna
0.87	28	8	my_99486_TR35866-c0_g1_i1_aln.fna
1.29	6	4	my_218849_TR9985-c0_g1_i1_aln.fna
0	10	5	my_33502_TR33156-c0_g4_i1_aln.fna
0.31	15	6	my_182717_TCONS_00002980_aln.fna
0	15	6	my_102831_TR22635-c0_g1_i1_aln.fna
0	15	6	my_67070_TR33548-c0_g1_i1_aln.fna
0.42	6	4	my_26213_TR17032-c0_g1_i1_aln.fna
0	28	8	my_21806_TR20990-c0_g1_i1_aln.fna
0	55	11	my_14772_TR25436-c0_g1_i1_aln.fna
0.33	10	5	my_141178_TR22210-c0_g1_i1_aln.fna
0.79	15	6	my_98057_TR17307-c0_g1_i1_aln.fna
0	15	6	my_22812_TR23188-c0_g1_i1_aln.fna
0	21	7	my_128373_TR736-c0_g1_i1_aln.fna
0.72	10	5	my_25989_TR11125-c0_g1_i1_aln.fna
0.96	21	7	my_59979_TR27584-c0_g1_i1_aln.fna
0.42	21	7	my_53271_TR22854-c0_g3_i3_aln.fna
0	6	4	my_298194_TR7820-c0_g1_i1_aln.fna
0.12	10	5	my_66128_TR33329-c0_g1_i1_aln.fna
1.03	10	5	my_35806_TR31526-c0_g1_i1_aln.fna
0.51	10	5	my_92742_TR28069-c0_g1_i1_aln.fna
0.15	120	16	my_4251_TR25833-c0_g1_i1_aln.fna
0	10	5	my_66578_TR16518-c0_g1_i1_aln.fna
0	15	6	my_17384_TR11845-c0_g1_i1_aln.fna
0.5	6	4	my_26854_TR20375-c0_g1_i1_aln.fna
0.81	6	4	my_34211_TR15495-c0_g1_i1_aln.fna
0.01	55	11	my_58688_TR13163-c0_g2_i1_aln.fna
1.98	10	5	my_70918_TR7639-c1_g1_i1_aln.fna
0.13	10	5	my_200312_TR18752-c0_g1_i1_aln.fna
0	6	4	my_33912_TR35249-c0_g2_i2_aln.fna
0	120	16	my_15407_TR4697-c0_g1_i1_aln.fna
0.4	21	7	my_32636_TR13896-c0_g1_i1_aln.fna
0.17	91	14	my_16626_TR15897-c0_g1_i1_aln.fna
0.43	6	4	my_135367_TR3363-c0_g1_i1_aln.fna
0	6	4	my_63028_TR17097-c0_g1_i1_aln.fna
0	28	8	my_70873_TR1476-c0_g1_i2_aln.fna
0	10	5	my_22309_TR12642-c0_g1_i1_aln.fna
0	15	6	my_19609_TR10388-c0_g1_i1_aln.fna
0	10	5	my_69616_TR16784-c0_g2_i3_aln.fna
0	6	4	my_31175_TR31008-c0_g1_i1_aln.fna
0.03	36	9	my_28862_TR18052-c0_g2_i1_aln.fna
0	10	5	my_16007_TR3683-c0_g1_i1_aln.fna
0	28	8	my_33456_TR22059-c0_g1_i1_aln.fna
0.23	45	10	my_24562_TR29377-c1_g1_i4_aln.fna
0.15	10	5	my_131280_TR17320-c0_g3_i1_aln.fna
0	10	5	my_97330_TR490-c0_g1_i1_aln.fna
0.02	120	16	my_5101_TR29844-c0_g1_i1_aln.fna
0.13	6	4	my_128149_TR36241-c0_g1_i1_aln.fna
0.54	55	11	my_25958_TR4266-c0_g1_i1_aln.fna
0	6	4	my_19024_TR626-c0_g1_i1_aln.fna
0	6	4	my_34044_TR23018-c0_g1_i1_aln.fna
0.03	105	15	my_24038_TR11122-c0_g1_i1_aln.fna
0.8	10	5	my_257814_TR29070-c0_g1_i1_aln.fna
0	55	11	my_32479_TR29003-c0_g1_i1_aln.fna
0	6	4	my_212370_TR2354-c0_g1_i1_aln.fna
0	78	13	my_30693_TR7590-c0_g2_i1_aln.fna
0	6	4	my_162339_TCONS_00036626_aln.fna
0	120	16	my_18298_TR19444-c0_g1_i1_aln.fna
0.15	6	4	my_247281_TR18250-c0_g1_i2_aln.fna
0	21	7	my_29010_TR4717-c0_g1_i1_aln.fna
0	6	4	my_29847_TR16054-c0_g1_i1_aln.fna
0.05	6	4	my_99512_TR2808-c0_g1_i1_aln.fna
0.29	45	10	my_24841_TR18425-c0_g1_i1_aln.fna
0	6	4	my_60437_TR12038-c0_g1_i1_aln.fna
0	91	14	my_18530_TR9241-c2_g1_i1_aln.fna
0.53	21	7	my_27205_TR5773-c0_g1_i1_aln.fna
0.54	10	5	my_133472_TR15794-c0_g1_i1_aln.fna
0	66	12	my_24103_TR29087-c0_g1_i1_aln.fna
0.33	15	6	my_31454_TR24162-c0_g1_i1_aln.fna
0.01	120	16	my_16606_TR6568-c0_g1_i1_aln.fna
0.64	6	4	my_251419_TR12149-c0_g1_i1_aln.fna
0.32	36	9	my_91814_TR22325-c0_g1_i1_aln.fna
0	15	6	my_35482_TR15757-c1_g1_i1_aln.fna
0	120	16	my_21262_TR11482-c0_g1_i1_aln.fna
0.3	6	4	my_68171_TR17489-c0_g1_i1_aln.fna
0	21	7	my_55146_TR18684-c0_g1_i1_aln.fna
0.36	120	16	my_10076_TR32684-c0_g1_i1_aln.fna
0	120	16	my_16023_TR16525-c0_g1_i1_aln.fna
0	6	4	my_103583_TR18331-c0_g1_i1_aln.fna
0	15	6	my_29461_TR478-c1_g1_i1_aln.fna
0.08	78	13	my_23487_TR12427-c0_g4_i2_aln.fna
0	6	4	my_63776_TR26810-c0_g1_i1_aln.fna
0	6	4	my_209673_TR4538-c0_g1_i1_aln.fna
0.04	45	10	my_20499_TR12202-c0_g1_i1_aln.fna
0	120	16	my_30747_TR13083-c0_g1_i1_aln.fna
0	6	4	my_217584_TR11351-c0_g1_i1_aln.fna
0.48	21	7	my_31031_TR15099-c0_g1_i1_aln.fna
0.09	10	5	my_98950_TR26877-c1_g1_i1_aln.fna
0	15	6	my_139417_TR1746-c0_g1_i1_aln.fna
0.09	10	5	my_92607_TR17692-c0_g1_i1_aln.fna
0.16	91	14	my_25009_TR23408-c0_g1_i1_aln.fna
0	6	4	my_297151_TR1826-c0_g1_i1_aln.fna
0	15	6	my_33890_TR32478-c0_g1_i1_aln.fna
0	6	4	my_285984_TR29768-c0_g1_i1_aln.fna
0.19	66	12	my_55524_TR25566-c0_g1_i1_aln.fna
0.13	28	8	my_58281_TR16047-c0_g1_i1_aln.fna
0.94	6	4	my_143376_TCONS_00019876_aln.fna
1	28	8	my_20967_TR17926-c0_g1_i1_aln.fna
0.2	91	14	my_11831_TR3334-c0_g1_i1_aln.fna
0.13	15	6	my_69979_TR15394-c0_g1_i1_aln.fna
0	10	5	my_256980_TR26102-c0_g1_i1_aln.fna
0.52	6	4	my_292828_TR35352-c0_g1_i1_aln.fna
0.44	55	11	my_26031_TR18222-c0_g1_i1_aln.fna
0	6	4	my_214556_TR14623-c0_g1_i1_aln.fna
0.31	28	8	my_35873_TR8195-c0_g1_i1_aln.fna
0.48	78	13	my_30819_TR23341-c0_g1_i1_aln.fna
0	15	6	my_23971_TR28395-c0_g1_i1_aln.fna
0	6	4	my_248738_TR15692-c0_g1_i1_aln.fna
0	15	6	my_218363_TR5367-c0_g1_i1_aln.fna
0	120	16	my_15114_TR31369-c0_g1_i1_aln.fna
0	10	5	my_32966_TR1564-c0_g1_i1_aln.fna
0	6	4	my_29863_TR18752-c0_g1_i1_aln.fna
0	15	6	my_23257_TR27134-c0_g1_i1_aln.fna
0	6	4	my_68852_TR7958-c0_g1_i1_aln.fna
0	6	4	my_59729_TR6562-c0_g1_i2_aln.fna
0	6	4	my_139018_TR31392-c1_g1_i1_aln.fna
0.33	6	4	my_29315_TR13693-c0_g1_i1_aln.fna
0	6	4	my_457843_TR32633-c0_g1_i1_aln.fna
0.6	10	5	my_29282_TR9640-c0_g1_i1_aln.fna
0	6	4	my_101387_TR4506-c0_g1_i1_aln.fna
0.31	36	9	my_68178_TR18532-c0_g1_i1_aln.fna
0.74	10	5	my_257616_TR32636-c0_g1_i1_aln.fna
0.02	55	11	my_28661_TR21579-c0_g1_i1_aln.fna
0	6	4	my_209707_TR11892-c0_g1_i1_aln.fna
0	6	4	my_99555_TR9579-c0_g2_i1_aln.fna
0	21	7	my_165042_TCONS_00000713_aln.fna
0	10	5	my_33263_TR21691-c0_g1_i1_aln.fna
0	28	8	my_22463_TR26807-c0_g1_i1_aln.fna
0	21	7	my_102419_TR14623-c0_g1_i1_aln.fna
0	6	4	my_135720_TR14971-c0_g1_i1_aln.fna
0.15	91	14	my_26257_TR26660-c0_g2_i1_aln.fna
0	6	4	my_103321_TR5246-c0_g1_i1_aln.fna
0.27	6	4	my_63763_TR24946-c0_g1_i1_aln.fna
0	10	5	my_184748_TCONS_00005291_aln.fna
0	66	12	my_28178_TR21922-c0_g1_i1_aln.fna
0	28	8	my_103458_TR26754-c0_g1_i1_aln.fna
0	78	13	my_19260_TR33535-c0_g1_i1_aln.fna
0	28	8	my_16849_TR1300-c1_g1_i3_aln.fna
0	6	4	my_59089_TR6782-c0_g3_i3_aln.fna
0	6	4	my_257220_TR33050-c0_g1_i1_aln.fna
0	45	10	my_50940_TR34420-c0_g1_i1_aln.fna
0.33	36	9	my_12647_TR2741-c1_g1_i1_aln.fna
0	120	16	my_23031_TR1788-c0_g2_i1_aln.fna
0.12	6	4	my_176298_TCONS_00022493_aln.fna
0.53	6	4	my_32459_TR26268-c0_g1_i1_aln.fna
1.19	6	4	my_22647_TR9071-c0_g2_i1_aln.fna
0.05	120	16	my_9238_TR27887-c0_g1_i1_aln.fna
0.16	6	4	my_138394_TR19845-c2_g1_i1_aln.fna
0.72	6	4	my_31954_TR10001-c0_g1_i1_aln.fna
0	6	4	my_26472_TR25940-c1_g1_i1_aln.fna
0	78	13	my_23099_TR21252-c0_g1_i1_aln.fna
0.66	6	4	my_139922_TR15378-c0_g1_i1_aln.fna
0.02	120	16	my_33291_TR26505-c0_g1_i1_aln.fna
0.17	45	10	my_13950_TR27964-c0_g1_i1_aln.fna
0.76	45	10	my_16546_TR10018-c0_g1_i1_aln.fna
0.18	36	9	my_31906_TR2508-c0_g1_i1_aln.fna
0	15	6	my_105281_TR26453-c5_g3_i2_aln.fna
0	6	4	my_147139_TCONS_00016795_aln.fna
0.47	6	4	my_25192_TR25841-c0_g1_i1_aln.fna
0.98	45	10	my_21445_TR8764-c0_g1_i1_aln.fna
0	120	16	my_23061_TR11024-c0_g2_i1_aln.fna
0	6	4	my_31778_TR22387-c0_g1_i1_aln.fna
0	120	16	my_19677_TR6842-c11_g2_i2_aln.fna
0	36	9	my_19769_TR6972-c0_g2_i1_aln.fna
0.54	45	10	my_17546_TR27425-c0_g1_i1_aln.fna
0	6	4	my_106221_TR11259-c0_g1_i1_aln.fna
0	120	16	my_17380_TR9086-c0_g1_i1_aln.fna
0	15	6	my_138996_TR25018-c0_g1_i1_aln.fna
0.46	10	5	my_245441_TR13259-c0_g1_i1_aln.fna
0	6	4	my_34961_TR2610-c0_g1_i1_aln.fna
0	10	5	my_106510_TR19224-c0_g1_i1_aln.fna
0.38	15	6	my_34046_TR23201-c0_g1_i1_aln.fna
0.86	6	4	my_26084_TR28574-c0_g1_i1_aln.fna
0	6	4	my_253788_TR25186-c0_g1_i1_aln.fna
0	10	5	my_68951_TR30267-c0_g1_i1_aln.fna
0	45	10	my_35663_TR10707-c0_g1_i1_aln.fna
0.66	36	9	my_21795_TR17228-c0_g1_i1_aln.fna
0.43	15	6	my_94178_TR35331-c0_g1_i3_aln.fna
0	6	4	my_26338_TR1846-c0_g1_i1_aln.fna
0	6	4	my_134687_TR19602-c0_g1_i1_aln.fna
0.54	10	5	my_133647_TR9928-c0_g1_i1_aln.fna
0.32	15	6	my_31418_TR20205-c0_g1_i1_aln.fna
0	66	12	my_14218_TR32093-c0_g1_i1_aln.fna
0	15	6	my_99189_TR26389-c0_g1_i1_aln.fna
0.57	105	15	my_29085_TR14055-c0_g1_i1_aln.fna
0	105	15	my_28846_TR15936-c0_g1_i1_aln.fna
0.54	10	5	my_35279_TR16810-c2_g1_i3_aln.fna
0	15	6	my_132710_TR25108-c0_g1_i1_aln.fna
0	21	7	my_33176_TR4270-c0_g1_i2_aln.fna
0.19	6	4	my_29473_TR1260-c0_g1_i1_aln.fna
0.01	120	16	my_22851_TR35376-c0_g1_i1_aln.fna
0	6	4	my_69100_TR25354-c0_g1_i1_aln.fna
0	15	6	my_59629_TR19141-c0_g1_i11_aln.fna
0	45	10	my_21156_TR19575-c1_g1_i1_aln.fna
0.58	6	4	my_139324_TR19889-c0_g1_i1_aln.fna
0	55	11	my_30364_TR4518-c0_g1_i1_aln.fna
0	120	16	my_13870_TR5962-c0_g1_i1_aln.fna
0.27	28	8	my_31070_TR19670-c0_g1_i1_aln.fna
0	28	8	my_27453_TR14649-c0_g1_i1_aln.fna
0	6	4	my_35108_TR25502-c0_g1_i1_aln.fna
0	10	5	my_217077_TR2769-c0_g1_i1_aln.fna
0	6	4	my_255122_TR24142-c0_g1_i1_aln.fna
0.42	10	5	my_128404_TR9922-c0_g1_i1_aln.fna
0.21	6	4	my_67747_TR2300-c0_g1_i1_aln.fna
0	21	7	my_32098_TR25745-c0_g1_i5_aln.fna
0	6	4	my_130900_TR8026-c0_g1_i1_aln.fna
0	6	4	my_64998_TR29499-c0_g1_i1_aln.fna
0.74	28	8	my_32956_TR36199-c0_g1_i1_aln.fna
0	15	6	my_69340_TR349-c0_g1_i1_aln.fna
0.56	28	8	my_99113_TR13901-c2_g1_i1_aln.fna
0	10	5	my_23293_TR35032-c0_g1_i1_aln.fna
0.05	6	4	my_27792_TR718-c0_g1_i1_aln.fna
0.23	15	6	my_249112_TR9076-c0_g1_i1_aln.fna
0	15	6	my_45838_TR15177-c0_g1_i1_aln.fna
0	6	4	my_102345_TR6515-c0_g1_i1_aln.fna
0	6	4	my_28765_TR2143-c0_g1_i1_aln.fna
0.17	10	5	my_22132_TR27257-c0_g1_i1_aln.fna
0	66	12	my_27230_TR9981-c1_g1_i1_aln.fna
0.14	66	12	my_19323_TR24593-c0_g1_i1_aln.fna
0	91	14	my_32481_TR29038-c0_g1_i1_aln.fna
0.52	6	4	my_65236_TR27072-c0_g1_i1_aln.fna
0.08	15	6	my_164603_TCONS_00031154_aln.fna
0	6	4	my_18151_TR23208-c0_g1_i1_aln.fna
0.44	28	8	my_26051_TR21772-c0_g1_i1_aln.fna
0.08	6	4	my_172962_TCONS_00002465_aln.fna
0	21	7	my_209950_TR30810-c0_g1_i1_aln.fna
0.72	10	5	my_98729_TR26865-c0_g1_i1_aln.fna
0.23	55	11	my_21606_TR26756-c0_g1_i2_aln.fna
0.33	120	16	my_13532_TR21134-c0_g1_i1_aln.fna
0	55	11	my_24765_TR2646-c0_g2_i3_aln.fna
0	45	10	my_62407_TR16695-c0_g1_i1_aln.fna
0.49	6	4	my_141571_TR12603-c0_g1_i1_aln.fna
0.37	6	4	my_129186_TR4536-c0_g1_i1_aln.fna
0	10	5	my_243470_TR32781-c0_g1_i1_aln.fna
0.13	15	6	my_132802_TR8445-c0_g1_i1_aln.fna
0	6	4	my_35688_TR13711-c0_g1_i1_aln.fna
0.5	6	4	my_34489_TR31895-c0_g1_i1_aln.fna
0	120	16	my_29719_TR482-c0_g1_i1_aln.fna
0	15	6	my_52950_TR34707-c0_g1_i1_aln.fna
0.37	10	5	my_214911_TR22850-c0_g1_i1_aln.fna
0.1	28	8	my_25588_TR3884-c0_g1_i1_aln.fna
0.28	10	5	my_25181_TR23849-c1_g2_i1_aln.fna
0	120	16	my_32918_TR28203-c0_g1_i1_aln.fna
0	36	9	my_23375_TR21467-c0_g1_i1_aln.fna
0.18	6	4	my_31792_TR24352-c0_g1_i1_aln.fna
0.47	15	6	my_70119_TR3948-c0_g1_i1_aln.fna
0	21	7	my_65523_TR27582-c0_g1_i1_aln.fna
0.32	21	7	my_99681_TR24216-c0_g1_i1_aln.fna
0	45	10	my_32909_TR25809-c0_g1_i1_aln.fna
0.15	91	14	my_19531_TR11042-c0_g1_i1_aln.fna
0.12	6	4	my_22637_TR4436-c0_g1_i2_aln.fna
0	10	5	my_69678_TR29915-c0_g1_i1_aln.fna
0	28	8	my_30167_TR19718-c0_g1_i1_aln.fna
0.15	91	14	my_30020_TR1158-c0_g1_i1_aln.fna
0.12	28	8	my_25314_TR16261-c0_g1_i1_aln.fna
0	36	9	my_93008_TR5999-c0_g1_i1_aln.fna
0	21	7	my_139339_TR22158-c0_g1_i1_aln.fna
0	6	4	my_22476_TR28934-c1_g1_i1_aln.fna
0	45	10	my_52893_TR5184-c0_g1_i1_aln.fna
0	21	7	my_101746_TR8378-c0_g1_i1_aln.fna
0	6	4	my_134867_TR7558-c0_g1_i1_aln.fna
0.92	6	4	my_155748_TCONS_00041853_aln.fna
0.19	36	9	my_60955_TR5735-c0_g1_i1_aln.fna
0.27	6	4	my_132796_TR7617-c0_g1_i1_aln.fna
0	120	16	my_20520_TR18992-c0_g1_i1_aln.fna
0	15	6	my_28473_TR28887-c5_g1_i5_aln.fna
0	28	8	my_10299_TR6903-c1_g1_i1_aln.fna
0	28	8	my_34775_TR7963-c0_g1_i1_aln.fna
1.05	15	6	my_94347_TR5490-c0_g1_i3_aln.fna
0.18	21	7	my_31103_TR23586-c0_g1_i1_aln.fna
0.39	15	6	my_102514_TR25387-c0_g1_i1_aln.fna
0	10	5	my_100956_TR21554-c0_g1_i1_aln.fna
0	10	5	my_33071_TR21344-c0_g1_i1_aln.fna
0	6	4	my_70976_TR19584-c0_g1_i1_aln.fna
0	6	4	my_70042_TR26886-c0_g1_i1_aln.fna
0	45	10	my_56795_TR7586-c0_g1_i1_aln.fna
0	6	4	my_138105_TR15566-c0_g1_i1_aln.fna
0.33	28	8	my_30496_TR19728-c5_g1_i1_aln.fna
0	120	16	my_8649_TR35860-c0_g1_i1_aln.fna
0	15	6	my_55237_TR24960-c0_g1_i1_aln.fna
0.84	6	4	my_139764_TR23468-c0_g1_i1_aln.fna
0	15	6	my_21398_TR24125-c0_g1_i1_aln.fna
0	6	4	my_455175_TR16222-c0_g1_i1_aln.fna
0	10	5	my_414871_MLOC_23676_aln.fna
0	55	11	my_33736_TR6587-c0_g1_i1_aln.fna
0.01	15	6	my_24798_TR9907-c0_g1_i1_aln.fna
0	6	4	my_281980_TR23488-c8_g1_i1_aln.fna
0.18	91	14	my_22966_TR24240-c0_g2_i1_aln.fna
0.12	45	10	my_30091_TR9936-c0_g1_i1_aln.fna
0.06	36	9	my_63623_TR3601-c1_g1_i1_aln.fna
0	10	5	my_69061_TR18211-c0_g1_i1_aln.fna
0	6	4	my_58937_TR6797-c0_g1_i1_aln.fna
0.23	6	4	my_154369_TCONS_00032425_aln.fna
0.13	15	6	my_93580_TR28867-c0_g1_i1_aln.fna
0	10	5	my_28657_TR20835-c0_g1_i1_aln.fna
0.25	15	6	my_70748_TR16571-c0_g1_i1_aln.fna
0	21	7	my_32588_TR6592-c0_g1_i1_aln.fna
0	105	15	my_20789_TR26796-c0_g1_i1_aln.fna
0	6	4	my_25917_TR32357-c0_g1_i1_aln.fna
0.49	21	7	my_61773_TR13664-c0_g1_i1_aln.fna
0	120	16	my_18317_TR31790-c0_g1_i1_aln.fna
0.01	15	6	my_59027_TR28847-c0_g1_i1_aln.fna
0	15	6	my_68053_TR34278-c0_g1_i1_aln.fna
0.68	21	7	my_30087_TR9165-c0_g1_i1_aln.fna
0	10	5	my_139031_TR33286-c0_g1_i1_aln.fna
0	6	4	my_137732_TR9768-c3_g3_i4_aln.fna
0.09	45	10	my_25028_TR28382-c0_g1_i1_aln.fna
0	45	10	my_69976_TR14609-c0_g1_i1_aln.fna
0.47	6	4	my_31124_TR25207-c1_g1_i1_aln.fna
0	6	4	my_30418_TR9431-c0_g1_i1_aln.fna
0.12	21	7	my_34951_TR964-c0_g1_i1_aln.fna
0.06	15	6	my_65724_TR16186-c0_g1_i1_aln.fna
0.25	10	5	my_425467_MLOC_38335_aln.fna
0	15	6	my_96690_TR27853-c0_g1_i1_aln.fna
0	10	5	my_101994_TR2711-c1_g1_i1_aln.fna
0.02	55	11	my_34295_TR29604-c0_g1_i1_aln.fna
0	28	8	my_25407_TR36456-c1_g6_i1_aln.fna
0.49	6	4	my_27080_TR23383-c0_g1_i1_aln.fna
0	10	5	my_35460_TR11699-c1_g2_i1_aln.fna
0	10	5	my_33539_TR4099-c0_g1_i1_aln.fna
0	15	6	my_27583_TR35675-c0_g1_i1_aln.fna
1.64	6	4	my_103520_TR3521-c0_g1_i1_aln.fna
0	6	4	my_23070_TR13413-c0_g1_i1_aln.fna
0	66	12	my_23222_TR20355-c0_g1_i1_aln.fna
0.57	10	5	my_131082_TR18423-c4_g3_i6_aln.fna
0	6	4	my_159192_TCONS_00024812_aln.fna
0	6	4	my_23463_TR6842-c11_g2_i1_aln.fna
0	6	4	my_33758_TR9703-c0_g1_i1_aln.fna
0	120	16	my_20195_TR1304-c0_g1_i1_aln.fna
0	105	15	my_24309_TR4576-c0_g1_i1_aln.fna
0.4	6	4	my_27005_TR10766-c0_g1_i2_aln.fna
0.31	6	4	my_294911_TR36111-c2_g1_i1_aln.fna
0.25	21	7	my_31786_TR23451-c0_g1_i1_aln.fna
0	55	11	my_23209_TR15940-c0_g1_i1_aln.fna
0.11	10	5	my_105104_TR31220-c0_g1_i1_aln.fna
0	36	9	my_34346_TR5537-c0_g1_i1_aln.fna
0.84	6	4	my_25106_TR10646-c0_g1_i1_aln.fna
0.45	6	4	my_33726_TR4097-c0_g1_i1_aln.fna
0.98	36	9	my_55906_TR29045-c0_g1_i1_aln.fna
0.04	28	8	my_31624_TR5672-c0_g1_i1_aln.fna
0.07	6	4	my_67899_TR16897-c0_g1_i1_aln.fna
0	10	5	my_101009_TR28792-c0_g1_i1_aln.fna
0	120	16	my_8663_TR8704-c0_g1_i1_aln.fna
0.43	6	4	my_93425_TR20290-c0_g1_i1_aln.fna
0	10	5	my_95668_TR33021-c0_g1_i1_aln.fna
0	10	5	my_34755_TR5615-c0_g1_i1_aln.fna
0	6	4	my_70350_TR12391-c1_g1_i1_aln.fna
0	6	4	my_252335_TR32670-c0_g1_i1_aln.fna
0.28	55	11	my_34929_TR34286-c0_g1_i1_aln.fna
0.3	6	4	my_61020_TR21319-c0_g1_i1_aln.fna
0.81	6	4	my_59649_TR23715-c0_g2_i1_aln.fna
0.37	15	6	my_97197_TR8861-c2_g1_i1_aln.fna
0	21	7	my_100731_TR26078-c0_g1_i1_aln.fna
0.23	15	6	my_27388_TR797-c0_g1_i1_aln.fna
0	10	5	my_90947_TR18456-c0_g1_i1_aln.fna
0	6	4	my_187792_TCONS_00040499_aln.fna
0.77	66	12	my_27866_TR11967-c1_g1_i1_aln.fna
0	15	6	my_91394_TR22812-c0_g2_i6_aln.fna
0.06	10	5	my_25025_TR27440-c0_g1_i1_aln.fna
0.48	10	5	my_100569_TR5134-c0_g1_i1_aln.fna
0.08	120	16	my_17426_TR1080-c0_g1_i1_aln.fna
0.58	36	9	my_64049_TR32182-c0_g1_i1_aln.fna
0.6	10	5	my_24354_TR10766-c0_g1_i12_aln.fna
0	15	6	my_31311_TR8922-c2_g1_i1_aln.fna
0.01	36	9	my_27368_TR34430-c0_g1_i1_aln.fna
0	28	8	my_66806_TR5858-c0_g1_i1_aln.fna
0	36	9	my_16312_TR9461-c0_g1_i1_aln.fna
0	120	16	my_24156_TR5563-c0_g1_i1_aln.fna
0	15	6	my_206680_TR29489-c0_g1_i1_aln.fna
1.07	6	4	my_63937_TR16121-c0_g1_i1_aln.fna
1.01	10	5	my_35012_TR10795-c0_g1_i1_aln.fna
0.23	6	4	my_28242_TR31169-c0_g3_i1_aln.fna
0	6	4	my_69924_TR5166-c0_g1_i1_aln.fna
0	6	4	my_70069_TR32615-c0_g1_i1_aln.fna
0	105	15	my_15975_TR19743-c0_g1_i1_aln.fna
0	6	4	my_102473_TR21735-c0_g1_i1_aln.fna
0	120	16	my_15751_TR9756-c0_g1_i3_aln.fna
0.11	10	5	my_31001_TR11214-c0_g1_i1_aln.fna
0	10	5	my_34409_TR15252-c0_g1_i1_aln.fna
0	6	4	my_241723_TR9206-c0_g1_i1_aln.fna
1.8	6	4	my_67473_TR9517-c0_g2_i1_aln.fna
0.63	6	4	my_99046_TR5036-c0_g1_i1_aln.fna
1.46	6	4	my_1012_TR15188-c0_g1_i1_aln.fna
0.22	28	8	my_63825_TR35320-c0_g1_i1_aln.fna
0.6	28	8	my_31545_TR32783-c0_g2_i2_aln.fna
0.2	6	4	my_34637_TR21536-c0_g1_i1_aln.fna
0	6	4	my_34185_TR11687-c0_g1_i1_aln.fna
0	21	7	my_28536_TR4179-c0_g1_i1_aln.fna
0.67	6	4	my_62968_TR6167-c0_g1_i1_aln.fna
0.52	6	4	my_103490_TR34748-c0_g1_i1_aln.fna
1.04	6	4	my_129404_TR26818-c0_g1_i1_aln.fna
0.2	6	4	my_58402_TR10785-c0_g2_i1_aln.fna
0	6	4	my_91733_TR30096-c0_g1_i1_aln.fna
0.46	21	7	my_68325_TR9288-c0_g1_i1_aln.fna
0	10	5	my_103199_TR24132-c0_g5_i1_aln.fna
0	15	6	my_99724_TR31216-c0_g1_i1_aln.fna
0.67	36	9	my_26990_TR8499-c0_g1_i1_aln.fna
0	10	5	my_132885_TR22415-c0_g1_i1_aln.fna
0.08	15	6	my_65376_TR7638-c0_g1_i1_aln.fna
0.26	36	9	my_25564_TR35867-c0_g1_i1_aln.fna
0.28	10	5	my_30326_TR35806-c0_g1_i1_aln.fna
0.32	10	5	my_65696_TR12600-c0_g1_i1_aln.fna
0.7	10	5	my_32216_TR1910-c0_g1_i1_aln.fna
0	10	5	my_214971_TR31711-c1_g1_i1_aln.fna
0.08	15	6	my_95550_TR8079-c0_g1_i1_aln.fna
0.11	21	7	my_101749_TR8822-c0_g1_i1_aln.fna
0	6	4	my_103207_TR25150-c0_g1_i1_aln.fna
0.03	10	5	my_101518_TR19240-c0_g1_i1_aln.fna
0	10	5	my_23678_TR29515-c0_g1_i1_aln.fna
0	120	16	my_19567_TR24578-c0_g1_i1_aln.fna
0.24	6	4	my_100536_TR518-c0_g1_i1_aln.fna
0.96	6	4	my_252288_TR26618-c5_g7_i9_aln.fna
1.1	6	4	my_105967_TR2730-c0_g1_i1_aln.fna
0.04	10	5	my_24657_TR18207-c0_g1_i1_aln.fna
0	120	16	my_22401_TR7624-c2_g1_i1_aln.fna
0.05	21	7	my_21219_TR36458-c0_g1_i1_aln.fna
1.24	36	9	my_30069_TR7020-c0_g1_i1_aln.fna
0	28	8	my_59012_TR25846-c0_g1_i1_aln.fna
0	21	7	my_99053_TR6012-c0_g1_i1_aln.fna
0	120	16	my_19452_TR12969-c0_g1_i1_aln.fna
0	28	8	my_24279_TR32579-c0_g1_i1_aln.fna
0.61	15	6	my_214443_TR1780-c0_g1_i1_aln.fna
0	120	16	my_17889_TR29641-c0_g1_i1_aln.fna
0	6	4	my_63521_TR24322-c0_g1_i1_aln.fna
0	15	6	my_60715_TR30437-c0_g1_i1_aln.fna
